age,education,black,hispanic,married,nodegree,re17,treat,re21
36,14,1,0,0,0,597.9107633,0,0
24,14,1,0,0,0,671.3411265,0,0
17,13,1,0,0,1,693.6918712,0,17850.06976
18,12,1,0,0,1,1008.185282,0,12141.83316
18,12,1,0,0,1,1148.621692,0,23154.28819
28,12,1,0,0,1,1544.451995,0,20402.03521
27,15,0,0,0,0,1992.386448,0,20207.54216
31,14,0,0,0,0,2076.956493,0,0
22,11,1,0,0,1,2126.356551,0,2536.971181
31,12,1,0,0,1,2185.300709,0,61001.19931
26,12,1,0,1,1,2346.23195,0,0
18,11,0,0,0,1,2349.687644,0,30654.06945
23,13,1,0,0,1,2438.679131,0,0
20,14,1,0,0,0,2484.972004,0,17467.08809
19,12,1,0,0,1,2536.782231,0,0
18,13,1,0,0,1,2709.432601,0,23083.83065
17,12,1,0,0,1,2790.458774,0,0
27,14,1,0,1,0,3159.210371,0,0
27,13,1,0,0,1,3217.612871,0,0
28,14,0,0,0,0,3373.156923,0,69185.2753
28,13,1,0,0,1,3625.666172,0,0
21,12,1,0,0,1,4880.633404,0,165787.2682
17,12,0,1,0,1,4908.09421,0,47474.02307
26,13,1,0,0,1,4933.665511,0,28015.14478
29,11,1,0,0,1,5054.719798,0,39380.01349
17,12,0,1,0,1,5205.082407,0,21368.16011
22,13,1,0,0,1,5549.518174,0,11082.11478
24,13,1,0,0,1,5576.097211,0,39872.33451
20,14,1,0,0,0,5758.665383,0,87728.03759
18,14,1,0,0,0,5901.595939,0,0
24,13,0,0,0,1,6165.580782,0,43507.74213
21,11,0,0,0,1,6622.379113,0,7306.92578
30,10,1,0,0,1,7166.094674,0,0
31,13,1,0,0,1,7249.190905,0,0
17,12,0,1,0,1,7283.243984,0,26680.60839
19,11,1,0,0,1,7466.022101,0,30110.3119
23,13,1,0,0,1,7961.198378,0,23402.7791
22,14,1,0,0,0,8413.251952,0,1846.205943
29,14,1,0,0,0,8734.593769,0,71255.333
22,12,1,0,0,1,9132.439544,0,22439.00558
29,15,1,0,0,0,9512.943862,0,11443.34615
19,13,1,0,0,1,10268.78785,0,41032.82649
17,11,1,0,0,1,10897.2792,0,0
18,12,1,0,0,1,11261.99566,0,0
19,14,1,0,0,0,11816.54438,0,7225.928999
20,8,1,0,0,1,11969.42633,0,0
33,13,1,0,0,1,12176.0542,0,79190.83411
36,13,0,1,0,1,12864.92573,0,5561.611006
25,13,1,0,0,1,12902.086,0,1195.250476
19,13,1,0,0,1,13796.24175,0,47010.46451
23,10,1,0,0,1,14289.10863,0,0
17,13,1,0,0,1,15939.15037,0,0
43,12,1,0,0,1,17334.90672,0,31765.8122
26,13,1,0,1,1,17571.2628,0,0
27,13,1,0,1,1,18860.95493,0,0
19,13,1,0,0,1,18907.89863,0,0
28,13,1,0,1,1,22648.44671,0,20887.80595
28,14,1,0,1,0,23310.02539,0,53661.942
26,10,1,0,0,1,23356.80114,0,14795.16006
31,14,1,0,0,0,23572.2467,0,0
23,13,1,0,0,1,24002.63395,0,43142.85772
20,14,1,0,0,0,25213.2608,0,20069.56631
28,12,1,0,1,1,27080.72157,0,71331.75298
39,14,1,0,1,0,27746.91905,0,2096.330217
21,10,1,0,0,1,27747.59087,0,12947.64406
22,13,1,0,0,1,29285.14407,0,15572.54441
20,13,1,0,0,1,32192.46243,0,32160.29886
21,13,0,1,0,1,37456.16148,0,87579.81642
23,14,0,1,0,0,37624.99925,0,29720.57
29,11,1,0,0,1,38464.82124,0,0
28,11,1,0,1,1,38673.75851,0,5205.964176
30,13,1,0,1,1,39099.90487,0,16723.37892
25,12,1,0,1,1,39131.39662,0,0
28,13,1,0,1,1,42131.34271,0,0
22,12,0,0,0,1,44502.88143,0,29790.85959
44,11,1,0,1,1,45588.29708,0,51895.46477
21,11,1,0,0,1,51886.64708,0,0
28,13,1,0,0,1,56144.75157,0,0
29,11,0,1,0,1,68615.06468,0,70962.66967
25,11,1,0,1,1,71157.07874,0,30836.55364
22,12,0,0,1,1,96709.0648,0,22878.96632
